ID,Title,IMDb,Age Category,d1,d2,d3,d4
199,Enemy,6.9,18+,0,0,0,1
200,Mirage,7.4,18+,0,0,0,1
201,Everybody's Everything,7.4,18+,0,0,0,1
202,Indiana Jones and the Kingdom of the Crystal Skull,6.1,13+,0,1,0,0
203,I Don't Feel at Home in This World Anymore,6.9,18+,0,0,0,1
204,Julie & Julia,7,13+,0,1,0,0
205,Under the Shadow,6.9,13+,0,1,0,0
206,Angel Has Fallen,6.4,18+,0,0,0,1
207,Kon-Tiki,7.2,13+,0,1,0,0
208,Mary Poppins Returns,6.7,7+,1,0,0,0
209,Kajaki,7.1,18+,0,0,0,1
210,The Night Comes for Us,7,18+,0,0,0,1
211,Blood Father,6.4,18+,0,0,0,1
212,Stree,7.6,7+,1,0,0,0
213,American Factory,7.4,16+,0,0,1,0
214,Salt,6.4,13+,0,1,0,0
215,The Hundred-Foot Journey,7.3,7+,1,0,0,0
216,Scooby-Doo on Zombie Island,7.8,all,0,0,0,0
217,The End of the Tour,7.3,18+,0,0,0,1
218,The One I Love,7.1,18+,0,0,0,1
219,Underworld,7,18+,0,0,0,1
220,The Death of Mr. Lazarescu,7.9,18+,0,0,0,1
221,Madagascar: Escape 2 Africa,6.6,7+,1,0,0,0
222,The Wolf's Call,6.9,16+,0,0,1,0
223,What Happened to Monday,6.9,18+,0,0,0,1
224,The Willoughbys,6.4,7+,1,0,0,0
225,The White Helmets,7.5,16+,0,0,1,0
226,The Matrix Revolutions,6.8,18+,0,0,0,1
227,Richard Pryor: Live in Concert,8.2,18+,0,0,0,1
228,Austin Powers: The Spy Who Shagged Me,6.6,13+,0,1,0,0
229,Get Him to the Greek,6.4,18+,0,0,0,1
230,Slow West,6.9,18+,0,0,0,1
231,The Meyerowitz Stories (New and Selected),6.9,18+,0,0,0,1
232,The Perfection,6.1,18+,0,0,0,1
233,Ip Man 3,7.1,13+,0,1,0,0
234,Sinister,6.8,18+,0,0,0,1
235,20 Feet from Stardom,7.4,13+,0,1,0,0
236,The Stanford Prison Experiment,6.9,18+,0,0,0,1
237,My Week with Marilyn,7,13+,0,1,0,0
238,Catfish,7.1,13+,0,1,0,0
239,Jarhead,7,18+,0,0,0,1
240,Yes Man,6.8,13+,0,1,0,0
241,Goon,6.8,18+,0,0,0,1
242,Ace Ventura: Pet Detective,6.9,13+,0,1,0,0
243,Inequality for All,8,7+,1,0,0,0
244,Olympus Has Fallen,6.5,18+,0,0,0,1
245,Dave Chappelle: Sticks & Stones,8.5,18+,0,0,0,1
246,John Mulaney: Kid Gorgeous at Radio City,7.9,18+,0,0,0,1
247,La Bamba,6.9,13+,0,1,0,0
248,Public Enemies,7,18+,0,0,0,1
249,Supersonic,7.9,18+,0,0,0,1
250,The Edge of Democracy,7.1,16+,0,0,1,0
251,The Polar Express,6.6,all,0,0,0,0
252,Under the Skin,6.3,18+,0,0,0,1
253,Crip Camp: A Disability Revolution,7.8,18+,0,0,0,1
254,Hey Arnold! The Jungle Movie,7.6,7+,1,0,0,0
255,Zack and Miri Make a Porno,6.5,18+,0,0,0,1
256,The Score,6.8,18+,0,0,0,1
257,Hamburger Hill,6.7,18+,0,0,0,1
258,9,7.1,13+,0,1,0,0
259,Undefeated,7.7,13+,0,1,0,0
